Object,Correct_Location,Wrong_Locations
mango,big bowl,"['counter', 'storage box', 'fridge', 'backpack']"
Chips Ahoy cookies,storage box,"['big bowl', 'counter', 'fridge', 'sink']"
chocolate-covered pretzels,counter,"['big bowl', 'storage box', 'fridge', 'small hamper']"
seltzer water,fridge,"['big bowl', 'counter', 'storage box', 'tray']"
Dijon mustard pretzels,counter,"['big bowl', 'storage box', 'fridge', 'desk']"
Biscotti biscuits,storage box,"['big bowl', 'counter', 'fridge', 'mat']"
onion,counter,"['top shelf', 'bottom shelf', 'cabinet', 'rack']"
immersion blender,cabinet,"['top shelf', 'bottom shelf', 'counter', 'bottom drawer']"
brown paper plate,top shelf,"['bottom shelf', 'cabinet', 'counter', 'tray']"
coffee maker,cabinet,"['top shelf', 'bottom shelf', 'counter', 'left drawer']"
broccoli,counter,"['top shelf', 'bottom shelf', 'cabinet', 'table']"
porcelain bowl,bottom shelf,"['top shelf', 'cabinet', 'counter', 'left cabinet']"
table napkin,top shelf,"['bottom shelf', 'cabinet', 'counter', 'trash can']"
steak seasoning,rack,"['basket', 'top cabinet', 'bottom cabinet', 'cabinet 2']"
Windex,bottom cabinet,"['basket', 'rack', 'top cabinet', 'large storage box']"
egg poacher,top cabinet,"['basket', 'rack', 'bottom cabinet', 'shelf 2']"
Swiffer wet pad,bottom cabinet,"['basket', 'rack', 'top cabinet', 'laundry basket']"
rice cooker,top cabinet,"['basket', 'rack', 'bottom cabinet', 'tray']"
food processor,right cabinet,"['oven drawer', 'left cabinet', 'drawer', 'plastic bin']"
Magic Bullet blender,right cabinet,"['oven drawer', 'left cabinet', 'drawer', 'left cupboard']"
powdered sugar,left cabinet,"['oven drawer', 'drawer', 'right cabinet', 'large hamper']"
OXO jigger,drawer,"['oven drawer', 'left cabinet', 'right cabinet', 'small storage container']"
doughnut pan,oven drawer,"['left cabinet', 'drawer', 'right cabinet', 'cardboard box']"
evaporated milk,left cabinet,"['oven drawer', 'drawer', 'right cabinet', 'cutting board']"
angled measuring cup,drawer,"['oven drawer', 'left cabinet', 'right cabinet', 'plastic box']"
tart tin,oven drawer,"['left cabinet', 'drawer', 'right cabinet', 'tray']"
baking cookbook,shelf,"['cabinet', 'top drawer', 'stool', 'middle shelf']"
granite cutting board,top drawer,"['cabinet', 'shelf', 'stool', 'underbed storage']"
denim apron,stool,"['cabinet', 'top drawer', 'shelf', 'corner']"
soup recipe,shelf,"['cabinet', 'top drawer', 'stool', 'storage rack']"
butcher knife,top drawer,"['cabinet', 'shelf', 'stool', 'large storage box']"
cup,cabinet,"['top drawer', 'shelf', 'stool', 'oven drawer']"
grill apron,stool,"['cabinet', 'top drawer', 'shelf', 'small storage container']"
plate,cabinet,"['top drawer', 'shelf', 'stool', 'backpack']"
lobster cracker tool,bucket,"['top drawer', 'counter', 'hanging rack', 'storage box']"
serrated knife,top drawer,"['counter', 'hanging rack', 'bucket', 'storage box']"
oatmeal cookie,storage box,"['top drawer', 'counter', 'hanging rack', 'bucket']"
celery,counter,"['top drawer', 'hanging rack', 'bucket', 'storage box']"
shellfish fork,bucket,"['top drawer', 'counter', 'hanging rack', 'storage box']"
copper pot,hanging rack,"['top drawer', 'counter', 'bucket', 'storage box']"
garlic,counter,"['top drawer', 'hanging rack', 'bucket', 'storage box']"
chocolate chip cookie,storage box,"['top drawer', 'counter', 'hanging rack', 'bucket']"
wood cutting board,top drawer,"['counter', 'hanging rack', 'bucket', 'storage box']"
slow cooker,counter,"['cutting board', 'bowl', 'left drawer', 'right drawer']"
soup spoon,left drawer,"['cutting board', 'bowl', 'counter', 'right drawer']"
milk,bowl,"['cutting board', 'counter', 'left drawer', 'right drawer']"
mixer,right drawer,"['cutting board', 'bowl', 'counter', 'left drawer']"
cilantro,cutting board,"['bowl', 'counter', 'left drawer', 'right drawer']"
air fryer,counter,"['cutting board', 'bowl', 'left drawer', 'right drawer']"
bok choy,cutting board,"['bowl', 'counter', 'left drawer', 'right drawer']"
small mixing bowl,cabinet,"['drying rack', 'counter', 'drawer', 'fridge']"
salad bowl,drying rack,"['counter', 'cabinet', 'drawer', 'fridge']"
string cheese,fridge,"['drying rack', 'counter', 'cabinet', 'drawer']"
metal mixing bowl,cabinet,"['drying rack', 'counter', 'drawer', 'fridge']"
meat tenderizer,drawer,"['drying rack', 'counter', 'cabinet', 'fridge']"
Bundt pan,counter,"['drying rack', 'cabinet', 'drawer', 'fridge']"
kefir,fridge,"['drying rack', 'counter', 'cabinet', 'drawer']"
cake pan,counter,"['drying rack', 'cabinet', 'drawer', 'fridge']"
wine glass,drying rack,"['counter', 'cabinet', 'drawer', 'fridge']"
meat shredder,drawer,"['drying rack', 'counter', 'cabinet', 'fridge']"
BBQ sauce,storage rack,"['dining table', 'counter', 'drawer', 'trash can']"
soda,counter,"['dining table', 'storage rack', 'drawer', 'trash can']"
disposable plastic plate,trash can,"['dining table', 'counter', 'storage rack', 'drawer']"
Gatorade,counter,"['dining table', 'storage rack', 'drawer', 'trash can']"
tortilla chips,dining table,"['counter', 'storage rack', 'drawer', 'trash can']"
styrofoam plate,trash can,"['dining table', 'counter', 'storage rack', 'drawer']"
pretzels,dining table,"['counter', 'storage rack', 'drawer', 'trash can']"
potato masher,drawer,"['dining table', 'counter', 'storage rack', 'trash can']"
zester,drawer,"['dining table', 'counter', 'storage rack', 'trash can']"
canned beans,bottom shelf,"['recycling bin', 'top drawer', 'cabinet', 'top shelf']"
dinner recipe,top shelf,"['recycling bin', 'top drawer', 'cabinet', 'bottom shelf']"
lemon juice,bottom shelf,"['recycling bin', 'top drawer', 'cabinet', 'top shelf']"
brownie recipe,top shelf,"['recycling bin', 'top drawer', 'cabinet', 'bottom shelf']"
pastry brush,top drawer,"['recycling bin', 'cabinet', 'bottom shelf', 'top shelf']"
office paper,recycling bin,"['top drawer', 'cabinet', 'bottom shelf', 'top shelf']"
meat thermometer,top drawer,"['recycling bin', 'cabinet', 'bottom shelf', 'top shelf']"
ramekin,cabinet,"['recycling bin', 'top drawer', 'bottom shelf', 'top shelf']"
salad plate,cabinet,"['recycling bin', 'top drawer', 'bottom shelf', 'top shelf']"
wrapping paper,recycling bin,"['top drawer', 'cabinet', 'bottom shelf', 'top shelf']"
carving knife,counter,"['left cabinet', 'right cabinet', 'top drawer', 'shelf']"
lentils,left cabinet,"['right cabinet', 'top drawer', 'counter', 'shelf']"
French press,right cabinet,"['left cabinet', 'top drawer', 'counter', 'shelf']"
rice,left cabinet,"['right cabinet', 'top drawer', 'counter', 'shelf']"
glass bowl,shelf,"['left cabinet', 'right cabinet', 'top drawer', 'counter']"
bread knife,counter,"['left cabinet', 'right cabinet', 'top drawer', 'shelf']"
plastic cutting board,top drawer,"['left cabinet', 'right cabinet', 'counter', 'shelf']"
Ninja blender,right cabinet,"['left cabinet', 'top drawer', 'counter', 'shelf']"
large cutting board,top drawer,"['left cabinet', 'right cabinet', 'counter', 'shelf']"
cereal,top shelf,"['bottom shelf', 'large storage box', 'large cardboard box', 'dining table']"
taco seasoning,bottom shelf,"['top shelf', 'rack', 'storage box 1', 'storage chest']"
canned tuna,bottom shelf,"['top shelf', 'left cupboard', 'right drawer', 'recycling bin']"
croissant,top shelf,"['bottom shelf', 'recycling bin', 'underbed storage', 'drawer']"
instant coffee,shelf,"['floor', 'side table', 'right shelf', 'console table']"
herbal tea,shelf,"['floor', 'trash can', 'bowl', 'large cardboard box']"
bag of charcoal,floor,"['shelf', 'side table', 'trash can', 'top drawer']"
case of bottled water,floor,"['shelf', 'table', 'left drawer', 'box']"
fruit cup,left shelf,"['right shelf', 'fireplace', 'underbed storage', 'laundry basket']"
canned coconut milk,right shelf,"['left shelf', 'dresser', 'desk', 'chest']"
canned pumpkin puree,right shelf,"['left shelf', 'big bowl', 'bin 1', 'floor']"
candy bar,rack,"['shelf', 'right shelf', 'storage rack', 'bottom shelf']"
Werther's Original caramel candy,rack,"['shelf', 'right cupboard', 'plastic box', 'top cabinet']"
protein bar,shelf,"['rack', 'storage box', 'cutting board', 'nightstand']"
instant mac and cheese,shelf,"['rack', 'shelf 1', 'oven drawer', 'floor']"
vinegar,bottom shelf,"['top shelf', 'chest', 'backpack', 'cabinet']"
baking powder,top shelf,"['bottom shelf', 'plate', 'dresser', 'corner']"
lemon extract,top shelf,"['bottom shelf', 'sink', 'right drawer', 'bin 2']"
salad dressing,bottom shelf,"['top shelf', 'sofa', 'floor', 'cabinet 2']"
fruit leathers,shelf,"['floor', 'right cupboard', 'chair', 'right drawer']"
macaroni pasta,floor,"['shelf', 'tray', 'small cardboard box', 'sofa']"
basmati rice,floor,"['shelf', 'storage cabinet', 'left cabinet', 'recycling bin']"
peanuts,shelf,"['floor', 'storage rack', 'shelf 2', 'plate']"
garlic powder,top shelf,"['middle shelf', 'bottom shelf', 'small storage container', 'right cabinet']"
rolled oats,bottom shelf,"['top shelf', 'middle shelf', 'coffee table', 'right shelf']"
onion powder,top shelf,"['middle shelf', 'bottom shelf', 'right cabinet', 'fruit bowl']"
quinoa,bottom shelf,"['top shelf', 'middle shelf', 'floor', 'top drawer']"
crackers,middle shelf,"['top shelf', 'bottom shelf', 'hanging rack', 'sink']"
pasta,middle shelf,"['bottom shelf', 'top shelf', 'shelf', 'top cabinet']"
cocoa powder,middle shelf,"['bottom shelf', 'top shelf', 'fireplace', 'hanging rack']"
trail mix,top shelf,"['bottom shelf', 'middle shelf', 'recycling bin', 'large cardboard box']"
Snack Pack pudding cups,top shelf,"['bottom shelf', 'middle shelf', 'fireplace', 'hamper']"
Powerade,bottom shelf,"['middle shelf', 'top shelf', 'left drawer', 'left cabinet']"
red potato,cardboard box,"['top rack', 'shelf', 'small storage chest', 'bowl']"
Cheerios,top rack,"['cardboard box', 'shelf', 'chair', 'closet']"
Russet potato,cardboard box,"['top rack', 'shelf', 'drying rack', 'nightstand']"
oatmeal,top rack,"['cardboard box', 'shelf', 'closet', 'drawer']"
hot sauce,shelf,"['cardboard box', 'top rack', 'bottom drawer', 'plastic box']"
relish,shelf,"['cardboard box', 'top rack', 'plastic bin', 'left drawer']"
olive oil,middle shelf,"['top shelf', 'bottom shelf', 'small storage chest', 'right drawer']"
pumpkin seeds,bottom shelf,"['top shelf', 'middle shelf', 'plastic box', 'bottom cabinet']"
cornstarch,top shelf,"['middle shelf', 'bottom shelf', 'dining table', 'plastic box']"
oats,bottom shelf,"['top shelf', 'middle shelf', 'nightstand', 'storage box 1']"
bay leaves,bowl,"['top shelf', 'bottom shelf', 'bed', 'storage box']"
fennel,bowl,"['top shelf', 'bottom shelf', 'middle shelf', 'right storage box']"
mustard,top shelf,"['bowl', 'bottom shelf', 'backpack', 'leftmost shelf']"
wheat,bottom shelf,"['bowl', 'top shelf', 'large storage box', 'nightstand']"
vanilla extract,drawer,"['rack', 'shelf', 'plastic box', 'small hamper']"
marshmallows,drawer,"['rack', 'shelf', 'small storage chest', 'storage chest']"
balsamic vinegar,shelf,"['drawer', 'rack', 'dresser', 'hamper']"
Lucky Charms cereal,rack,"['drawer', 'shelf', 'big bowl', 'nightstand']"
beef broth,shelf,"['drawer', 'rack', 'left shelf', 'tray']"
Raisin Bran cereal,rack,"['drawer', 'shelf', 'underbed storage', 'oven drawer']"
Tropicana juice bottle,shelf,"['box', 'floor', 'basket', 'console table']"
Triscuit crackers,basket,"['box', 'floor', 'shelf', 'right drawer']"
zucchini,box,"['floor', 'shelf', 'basket', 'cardboard box']"
Coca-Cola can,floor,"['box', 'shelf', 'basket', 'table']"
Smartwater,shelf,"['box', 'floor', 'basket', 'small hamper']"
Red Bull can,floor,"['box', 'shelf', 'basket', 'big bowl']"
Monster energy drink,rack,"['large storage box', 'small storage container', 'shelf', 'ottoman']"
black pepper,small storage container,"['large storage box', 'rack', 'shelf', 'storage box 2']"
Nissin cup noodles,shelf,"['large storage box', 'small storage container', 'rack', 'stool']"
nutmeg,small storage container,"['large storage box', 'rack', 'shelf', 'trash can']"
Barilla pasta,large storage box,"['small storage container', 'rack', 'shelf', 'big bowl']"
Quaker oats,large storage box,"['small storage container', 'rack', 'shelf', 'bowl']"
Maruchan ramen noodles,shelf,"['large storage box', 'small storage container', 'rack', 'top rack']"
prunes,top shelf,"['middle shelf', 'bottom shelf', 'floor', 'plate']"
pinto beans,middle shelf,"['top shelf', 'bottom shelf', 'floor', 'chair']"
Nature's Path cereal,bottom shelf,"['top shelf', 'middle shelf', 'floor', 'right drawer']"
Sprite,floor,"['top shelf', 'middle shelf', 'bottom shelf', 'counter']"
Mountain Dew,floor,"['top shelf', 'middle shelf', 'bottom shelf', 'bin 2']"
dried goji berries,top shelf,"['middle shelf', 'bottom shelf', 'floor', 'fruit bowl']"
pecans,middle shelf,"['top shelf', 'bottom shelf', 'floor', 'left cupboard']"
Nutter Butter cookies,middle shelf,"['bottom shelf', 'drawer', 'top shelf', 'right cupboard']"
Campbell's chicken noodle soup,top shelf,"['bottom shelf', 'drawer', 'middle shelf', 'left cupboard']"
case of soda,bottom shelf,"['drawer', 'top shelf', 'middle shelf', 'left shelf']"
star anise,drawer,"['bottom shelf', 'top shelf', 'middle shelf', 'hanging rack']"
thyme,drawer,"['bottom shelf', 'top shelf', 'middle shelf', 'plastic box']"
Hershey's chocolate bar,middle shelf,"['bottom shelf', 'drawer', 'top shelf', 'fridge']"
instant rice,top shelf,"['bottom shelf', 'drawer', 'middle shelf', 'bowl']"
case of pickle jars,bottom shelf,"['drawer', 'top shelf', 'middle shelf', 'right shelf']"
tongs,drawer,"['top shelf', 'bottom shelf', 'fruit bowl', 'bed']"
canned barley soup,bottom shelf,"['top shelf', 'fruit bowl', 'drawer', 'small storage chest']"
jar of marinara sauce,bottom shelf,"['top shelf', 'fruit bowl', 'drawer', 'bin 2']"
paper towels,drawer,"['top shelf', 'bottom shelf', 'fruit bowl', 'left storage box']"
turnips,top shelf,"['bottom shelf', 'fruit bowl', 'drawer', 'dresser']"
peaches,fruit bowl,"['top shelf', 'bottom shelf', 'drawer', 'bottom drawer']"
butternut squash,top shelf,"['bottom shelf', 'fruit bowl', 'drawer', 'bin 1']"
canned sardines,floor,"['leftmost shelf', 'basket', 'top shelf', 'big bowl']"
ranch dressing,top shelf,"['leftmost shelf', 'floor', 'basket', 'desk']"
Nature Valley bar,basket,"['leftmost shelf', 'floor', 'top shelf', 'bed']"
rice vinegar,leftmost shelf,"['floor', 'basket', 'top shelf', 'table']"
canned adzuki beans,floor,"['leftmost shelf', 'basket', 'top shelf', 'closet']"
Oberto beef jerky,basket,"['leftmost shelf', 'floor', 'top shelf', 'fireplace']"
Sriracha hot sauce,top shelf,"['leftmost shelf', 'floor', 'basket', 'cardboard box']"
canola oil,leftmost shelf,"['floor', 'basket', 'top shelf', 'right shelf']"
vegetable chips,top shelf,"['left shelf', 'right shelf', 'bottom shelf', 'rack']"
De Cecco pasta,bottom shelf,"['left shelf', 'right shelf', 'rack', 'top shelf']"
gummies,top shelf,"['left shelf', 'right shelf', 'bottom shelf', 'rack']"
sugar,right shelf,"['left shelf', 'bottom shelf', 'rack', 'top shelf']"
cake flour,right shelf,"['left shelf', 'bottom shelf', 'rack', 'top shelf']"
canned carrots,left shelf,"['right shelf', 'bottom shelf', 'rack', 'top shelf']"
Bob's Red Mill millet,bottom shelf,"['left shelf', 'right shelf', 'rack', 'top shelf']"
canned mackerel,left shelf,"['right shelf', 'bottom shelf', 'rack', 'top shelf']"
plums,rack,"['left shelf', 'right shelf', 'bottom shelf', 'top shelf']"
apricots,rack,"['left shelf', 'right shelf', 'bottom shelf', 'top shelf']"
sesame oil,shelf,"['top rack', 'cabinet', 'storage box', 'floor']"
sushi rice,cabinet,"['top rack', 'storage box', 'shelf', 'floor']"
dried blueberries,storage box,"['top rack', 'cabinet', 'shelf', 'floor']"
Lipton loose tea,top rack,"['cabinet', 'storage box', 'shelf', 'floor']"
penne,floor,"['top rack', 'cabinet', 'storage box', 'shelf']"
rigatoni,floor,"['top rack', 'cabinet', 'storage box', 'shelf']"
canned beetroot,cardboard box,"['floor', 'bottom shelf', 'middle shelf', 'top shelf']"
fish stock,floor,"['bottom shelf', 'middle shelf', 'top shelf', 'cardboard box']"
instant cup noodles,middle shelf,"['floor', 'bottom shelf', 'top shelf', 'cardboard box']"
baking chocolate,bottom shelf,"['floor', 'middle shelf', 'top shelf', 'cardboard box']"
Del Monte canned pineapple chunks,cardboard box,"['floor', 'bottom shelf', 'middle shelf', 'top shelf']"
beef stock,floor,"['bottom shelf', 'middle shelf', 'top shelf', 'cardboard box']"
Shin Ramyun noodles,middle shelf,"['floor', 'bottom shelf', 'top shelf', 'cardboard box']"
Royal basmati rice,rack,"['shelf 1', 'shelf 2', 'basket', 'floor']"
Starburst,basket,"['shelf 1', 'shelf 2', 'rack', 'floor']"
Tootsie Pops,basket,"['shelf 1', 'shelf 2', 'rack', 'floor']"
Vitamin Water,floor,"['shelf 1', 'shelf 2', 'rack', 'basket']"
Ocean Spray juice,floor,"['shelf 1', 'shelf 2', 'rack', 'basket']"
Cape Cod kettle chips,shelf 2,"['shelf 1', 'rack', 'basket', 'floor']"
Tostitos chips,shelf 2,"['shelf 1', 'rack', 'basket', 'floor']"
Frosted Flakes cereal,rack,"['shelf 1', 'shelf 2', 'basket', 'floor']"
canned cooked pork,floor,"['bottom shelf', 'middle shelf', 'top shelf', 'top rack']"
Haribo gummy worms,top shelf,"['bottom shelf', 'middle shelf', 'top rack', 'floor']"
Dasani bottled water,middle shelf,"['bottom shelf', 'top shelf', 'top rack', 'floor']"
Ferrero Rocher,top rack,"['bottom shelf', 'middle shelf', 'top shelf', 'floor']"
canned pumpkin,floor,"['bottom shelf', 'middle shelf', 'top shelf', 'top rack']"
Mott's fruit snacks,top shelf,"['bottom shelf', 'middle shelf', 'top rack', 'floor']"
Poland Spring bottled water,middle shelf,"['bottom shelf', 'top shelf', 'top rack', 'floor']"
Godiva chocolate truffles,top rack,"['bottom shelf', 'middle shelf', 'top shelf', 'floor']"
Arizona iced tea,bottom shelf,"['middle shelf', 'top shelf', 'top rack', 'floor']"
spaghetti,top shelf,"['bottom shelf', 'plastic bin', 'floor', 'drawer']"
canned mushroom soup,drawer,"['bottom shelf', 'plastic bin', 'floor', 'top shelf']"
canned crushed tomatoes,drawer,"['bottom shelf', 'plastic bin', 'floor', 'top shelf']"
turmeric,plastic bin,"['bottom shelf', 'floor', 'drawer', 'top shelf']"
angel hair,top shelf,"['bottom shelf', 'plastic bin', 'floor', 'drawer']"
Black Forest gummies,bottom shelf,"['plastic bin', 'floor', 'drawer', 'top shelf']"
Stacy's pita chips,bottom shelf,"['plastic bin', 'floor', 'drawer', 'top shelf']"
Uncle Ben's white rice,floor,"['bottom shelf', 'plastic bin', 'drawer', 'top shelf']"
black rice,floor,"['bottom shelf', 'plastic bin', 'drawer', 'top shelf']"
sage,plastic bin,"['bottom shelf', 'floor', 'drawer', 'top shelf']"
